Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
63722281,01/10/2025 11:47:16 PM,01/11/2025 03:52:51 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11355,144-19 BARCLAY AVENUE,BARCLAY AVENUE,PARSONS BOULEVARD,147 STREET,PARSONS BOULEVARD,147 STREET,ADDRESS,FLUSHING,BARCLAY AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/11/2025 03:52:53 PM,07 QUEENS,4050500077,QUEENS,1034061,216200,MOBILE,Unspecified,QUEENS,,,,,,,,40.7599552105761,-73.8201971928866,"(40.7599552105761, -73.8201971928866)"
63720084,01/10/2025 11:46:01 PM,01/12/2025 10:24:01 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11417,110-28 106 STREET,106 STREET,ROCKAWAY BOULEVARD,ROSITA ROAD,ROCKAWAY BOULEVARD,ROSITA ROAD,ADDRESS,OZONE PARK,106 STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,01/12/2025 10:24:04 AM,10 QUEENS,4114800076,QUEENS,1030517,186347,MOBILE,Unspecified,QUEENS,,,,,,,,40.67803531753046,-73.83319514023883,"(40.67803531753046, -73.83319514023883)"
63714565,01/10/2025 11:45:18 PM,01/12/2025 10:23:57 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11417,110-28 106 STREET,106 STREET,ROCKAWAY BOULEVARD,ROSITA ROAD,ROCKAWAY BOULEVARD,ROSITA ROAD,ADDRESS,OZONE PARK,106 STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,01/12/2025 10:23:59 AM,10 QUEENS,4114800076,QUEENS,1030517,186347,MOBILE,Unspecified,QUEENS,,,,,,,,40.67803531753046,-73.83319514023883,"(40.67803531753046, -73.83319514023883)"
63722803,01/10/2025 11:42:09 PM,01/11/2025 05:47:07 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10465,725 QUINCY AVENUE,QUINCY AVENUE,CROSS BRONX EXPRESSWAY,PHILIP AVENUE,CROSS BRONX EXPRESSWAY,PHILIP AVENUE,ADDRESS,BRONX,QUINCY AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/11/2025 05:47:10 AM,10 BRONX,2055460103,BRONX,1032572,240118,ONLINE,Unspecified,BRONX,,,,,,,,40.82561179388097,-73.82539993537667,"(40.82561179388097, -73.82539993537667)"
63719238,01/10/2025 11:40:49 PM,01/11/2025 12:24:35 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10466,4030 LACONIA AVENUE,LACONIA AVENUE,EAST  227 STREET,EAST  228 STREET,EAST  227 STREET,EAST  228 STREET,ADDRESS,BRONX,LACONIA AVENUE,,Closed,,The Police Department issued a summons in response to the complaint.,01/11/2025 12:24:39 AM,12 BRONX,2049050003,BRONX,1026230,262059,MOBILE,Unspecified,BRONX,,,,,,,,40.88586561240363,-73.84817779173693,"(40.88586561240363, -73.84817779173693)"
63720669,01/10/2025 11:37:50 PM,01/11/2025 05:11:22 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11370,31-41 73 STREET,73 STREET,31 AVENUE,32 AVENUE,31 AVENUE,32 AVENUE,ADDRESS,EAST ELMHURST,73 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/11/2025 05:11:25 AM,03 QUEENS,4011440042,QUEENS,1013542,215336,ONLINE,Unspecified,QUEENS,,,,,,,,40.757675544705556,-73.89426831112782,"(40.757675544705556, -73.89426831112782)"
63714049,01/10/2025 11:36:56 PM,01/11/2025 12:11:11 AM,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,Street/Sidewalk,11375,110-42 67 ROAD,67 ROAD,110 STREET,112 STREET,110 STREET,112 STREET,ADDRESS,FOREST HILLS,67 ROAD,,Closed,,The Police Department issued a summons in response to the complaint.,01/11/2025 12:11:13 AM,06 QUEENS,4021910032,QUEENS,1027285,204917,ONLINE,Unspecified,QUEENS,,,,,,,,40.729021825901675,-73.84472866348561,"(40.729021825901675, -73.84472866348561)"
63708078,01/10/2025 11:36:34 PM,01/11/2025 03:34:33 AM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11360,215-28 23 ROAD,23 ROAD,215 STREET,WATERS EDGE DRIVE,215 STREET,WATERS EDGE DRIVE,ADDRESS,BAYSIDE,23 ROAD,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/11/2025 03:34:37 AM,07 QUEENS,4059580132,QUEENS,1046540,224443,PHONE,Unspecified,QUEENS,,,,,,,,40.782500908852676,-73.77507551305709,"(40.782500908852676, -73.77507551305709)"
63709942,01/10/2025 11:33:59 PM,01/11/2025 08:18:46 AM,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,Street/Sidewalk,10467,750 ASTOR AVENUE,ASTOR AVENUE,HOLLAND AVENUE,WALLACE AVENUE,HOLLAND AVENUE,WALLACE AVENUE,ADDRESS,BRONX,ASTOR AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/11/2025 08:18:50 AM,11 BRONX,2043450029,BRONX,1021471,252477,ONLINE,Unspecified,BRONX,,,,,,,,40.859587350386846,-73.86544209216154,"(40.859587350386846, -73.86544209216154)"
63712328,01/10/2025 11:33:40 PM,01/11/2025 04:20:40 AM,NYPD,New York City Police Department,Illegal Parking,License Plate Obscured,Street/Sidewalk,11420,130-32 126 STREET,126 STREET,SUTTER AVENUE,133 AVENUE,SUTTER AVENUE,133 AVENUE,ADDRESS,SOUTH OZONE PARK,126 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/11/2025 04:20:44 AM,10 QUEENS,4117630050,QUEENS,1036257,184364,ONLINE,Unspecified,QUEENS,,,,,,,,40.67256057956524,-73.81251627236448,"(40.67256057956524, -73.81251627236448)"
63716372,01/10/2025 11:32:03 PM,01/11/2025 03:34:46 AM,NYPD,New York City Police Department,Illegal Parking,Overnight Commercial Storage,Street/Sidewalk,11360,215-34 23 ROAD,23 ROAD,215 STREET,WATERS EDGE DRIVE,215 STREET,WATERS EDGE DRIVE,ADDRESS,BAYSIDE,23 ROAD,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/11/2025 03:34:49 AM,07 QUEENS,4059580134,QUEENS,1046542,224444,PHONE,Unspecified,QUEENS,,,,,,,,40.782503639482506,-73.77506828196775,"(40.782503639482506, -73.77506828196775)"
63722266,01/10/2025 11:31:38 PM,01/11/2025 01:07:21 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11415,80-37 GRENFELL STREET,GRENFELL STREET,UNION TURNPIKE,80 ROAD,UNION TURNPIKE,80 ROAD,ADDRESS,KEW GARDENS,GRENFELL STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/11/2025 01:07:24 AM,09 QUEENS,,QUEENS,1030241,198505,MOBILE,Unspecified,QUEENS,,,,,,,,40.71140758698018,-73.83410718027069,"(40.71140758698018, -73.83410718027069)"
63718580,01/10/2025 11:31:36 PM,01/11/2025 08:19:32 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10462,1911 WALLACE AVENUE,WALLACE AVENUE,RHINELANDER AVENUE,BRONXDALE AVENUE,RHINELANDER AVENUE,BRONXDALE AVENUE,ADDRESS,BRONX,WALLACE AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,01/11/2025 08:19:35 AM,11 BRONX,2042600057,BRONX,1021738,248492,MOBILE,Unspecified,BRONX,,,,,,,,40.84864859566895,-73.86449914444809,"(40.84864859566895, -73.86449914444809)"
63720412,01/10/2025 11:31:26 PM,01/11/2025 03:28:31 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11208,184 ETNA STREET,ETNA STREET,RICHMOND STREET,CHESTNUT STREET,RICHMOND STREET,CHESTNUT STREET,ADDRESS,BROOKLYN,ETNA STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/11/2025 03:28:34 AM,05 BROOKLYN,3041150026,BROOKLYN,1018413,189241,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.68603366963854,-73.87681854478991,"(40.68603366963854, -73.87681854478991)"
63718227,01/10/2025 11:31:08 PM,01/11/2025 02:35:12 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11105,22-58 47 STREET,47 STREET,DITMARS BOULEVARD,ASTORIA BOULEVARD NORTH,DITMARS BOULEVARD,ASTORIA BOULEVARD NORTH,ADDRESS,ASTORIA,47 STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,01/11/2025 02:35:17 AM,01 QUEENS,4007680078,QUEENS,1011132,219405,ONLINE,Unspecified,QUEENS,,,,,,,,40.76885155037513,-73.90295110881068,"(40.76885155037513, -73.90295110881068)"
63722703,01/10/2025 11:31:04 PM,01/11/2025 12:01:04 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Bike Lane,Street/Sidewalk,10002,168 STANTON STREET,STANTON STREET,SUFFOLK STREET,CLINTON STREET,SUFFOLK STREET,CLINTON STREET,ADDRESS,NEW YORK,STANTON STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/11/2025 12:01:08 AM,03 MANHATTAN,1003500030,MANHATTAN,988518,201695,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72028187601815,-73.98460297859641,"(40.72028187601815, -73.98460297859641)"
63720208,01/10/2025 11:31:02 PM,01/11/2025 04:39:17 AM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11216,580 LINCOLN PLACE,LINCOLN PLACE,FRANKLIN AVENUE,ST FRANCIS PLACE,FRANKLIN AVENUE,ST FRANCIS PLACE,ADDRESS,BROOKLYN,LINCOLN PLACE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/11/2025 04:39:21 AM,08 BROOKLYN,3012590012,BROOKLYN,996134,183897,PHONE,Unspecified,BROOKLYN,Car,,,,,,,40.67142355370545,-73.9571592857953,"(40.67142355370545, -73.9571592857953)"
63719469,01/10/2025 11:30:58 PM,01/11/2025 01:47:23 AM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Vehicle,Street/Sidewalk,11436,116-40 146 STREET,146 STREET,116 AVENUE,FOCH BOULEVARD,116 AVENUE,FOCH BOULEVARD,ADDRESS,JAMAICA,146 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/11/2025 01:47:25 AM,12 QUEENS,4120050025,QUEENS,1041072,187471,PHONE,Unspecified,QUEENS,Car,,,,,,,40.68105897420051,-73.7951322020959,"(40.68105897420051, -73.7951322020959)"
63711211,01/10/2025 11:30:50 PM,01/11/2025 01:21:37 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11217,305 SCHERMERHORN STREET,SCHERMERHORN STREET,BOND STREET,NEVINS STREET,BOND STREET,NEVINS STREET,ADDRESS,BROOKLYN,SCHERMERHORN STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,01/11/2025 01:21:40 AM,02 BROOKLYN,3001660043,BROOKLYN,989134,189774,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68756121562397,-73.98238937402469,"(40.68756121562397, -73.98238937402469)"
63713183,01/10/2025 11:30:44 PM,01/11/2025 12:10:01 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11217,669 ATLANTIC AVENUE,ATLANTIC AVENUE,ACADEMY PARK PLACE,6 AVENUE,ACADEMY PARK PLACE,6 AVENUE,ADDRESS,BROOKLYN,ATLANTIC AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/11/2025 12:10:03 AM,02 BROOKLYN,3020047501,BROOKLYN,991537,188255,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68339025591524,-73.97372632967249,"(40.68339025591524, -73.97372632967249)"
63712168,01/10/2025 11:27:52 PM,01/11/2025 05:06:08 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11229,1978 EAST   17 STREET,EAST   17 STREET,AVENUE S,AVENUE T,AVENUE S,AVENUE T,ADDRESS,BROOKLYN,EAST   17 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,01/11/2025 05:06:12 AM,15 BROOKLYN,3072950039,BROOKLYN,996722,158603,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.60199611721354,-73.95508635279491,"(40.60199611721354, -73.95508635279491)"
63720285,01/10/2025 11:24:55 PM,01/11/2025 02:00:34 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11203,539 EAST   35 STREET,EAST   35 STREET,CLARENDON ROAD,AVENUE D,CLARENDON ROAD,AVENUE D,ADDRESS,BROOKLYN,EAST   35 STREET,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,01/11/2025 02:00:36 AM,17 BROOKLYN,3049520052,BROOKLYN,999850,173172,PHONE,Unspecified,BROOKLYN,,,,,,,,40.64198001792104,-73.94378826487251,"(40.64198001792104, -73.94378826487251)"
63716249,01/10/2025 11:24:28 PM,01/11/2025 05:04:38 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11228,288 BAY   10 STREET,BAY   10 STREET,CROPSEY AVENUE,INDEPENDENCE AVENUE,CROPSEY AVENUE,INDEPENDENCE AVENUE,ADDRESS,BROOKLYN,BAY   10 STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,01/11/2025 05:04:42 AM,11 BROOKLYN,3064600062,BROOKLYN,980168,159795,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.605275750512135,-74.01470065000628,"(40.605275750512135, -74.01470065000628)"
63706963,01/10/2025 11:23:20 PM,01/11/2025 02:22:51 AM,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Street/Sidewalk,11378,53-56 65 PLACE,65 PLACE,53 AVENUE,53 DRIVE,53 AVENUE,53 DRIVE,ADDRESS,MASPETH,65 PLACE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,01/11/2025 02:22:55 AM,05 QUEENS,4023740187,QUEENS,1011904,205166,MOBILE,Unspecified,QUEENS,,,,,,,,40.72976672912934,-73.9002226044247,"(40.72976672912934, -73.9002226044247)"
63715242,01/10/2025 11:22:48 PM,01/11/2025 01:26:37 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11418,87-61 116 STREET,116 STREET,JAMAICA AVENUE,89 AVENUE,JAMAICA AVENUE,89 AVENUE,ADDRESS,RICHMOND HILL,116 STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,01/11/2025 01:26:40 AM,09 QUEENS,4093260065,QUEENS,1030536,193854,ONLINE,Unspecified,QUEENS,,,,,,,,40.69864017192405,-73.83307506595465,"(40.69864017192405, -73.83307506595465)"
63718228,01/10/2025 11:21:37 PM,01/11/2025 10:03:08 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10455,418 EAST  153 STREET,EAST  153 STREET,MELROSE AVENUE,ELTON AVENUE,MELROSE AVENUE,ELTON AVENUE,ADDRESS,BRONX,EAST  153 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/11/2025 10:03:11 AM,01 BRONX,2023740080,BRONX,1007501,237578,ONLINE,Unspecified,BRONX,,,,,,,,40.818741793230835,-73.91599675209956,"(40.818741793230835, -73.91599675209956)"
63712394,01/10/2025 11:16:28 PM,01/11/2025 01:48:38 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,10469,3315 HONE AVENUE,HONE AVENUE,DUNCAN STREET,EAST GUN HILL ROAD,DUNCAN STREET,EAST GUN HILL ROAD,ADDRESS,BRONX,HONE AVENUE,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,01/11/2025 01:48:40 PM,12 BRONX,2046370050,BRONX,1023663,257519,MOBILE,Unspecified,BRONX,,,,,,,,40.8734165760929,-73.85748813653953,"(40.8734165760929, -73.85748813653953)"
63712124,01/10/2025 11:11:24 PM,01/11/2025 10:10:41 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11218,405 WESTMINSTER ROAD,WESTMINSTER ROAD,CORTELYOU ROAD,DORCHESTER ROAD,CORTELYOU ROAD,DORCHESTER ROAD,ADDRESS,BROOKLYN,WESTMINSTER ROAD,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,01/11/2025 10:10:45 AM,14 BROOKLYN,3051550050,BROOKLYN,993452,172096,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.639035586822764,-73.96684374747912,"(40.639035586822764, -73.96684374747912)"
63715294,01/10/2025 11:09:41 PM,01/11/2025 01:29:37 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11377,41-59 73 STREET,73 STREET,41 AVENUE,WOODSIDE AVENUE,41 AVENUE,WOODSIDE AVENUE,ADDRESS,WOODSIDE,73 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/11/2025 01:29:40 AM,04 QUEENS,4013130002,QUEENS,1014241,210322,MOBILE,Unspecified,QUEENS,,,,,,,,40.74391104855248,-73.89176758213713,"(40.74391104855248, -73.89176758213713)"
63713182,01/10/2025 11:07:20 PM,01/11/2025 01:40:06 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11418,104-48 90 AVENUE,90 AVENUE,104 STREET,107 STREET,104 STREET,107 STREET,ADDRESS,RICHMOND HILL,90 AVENUE,,Closed,,The Police Department issued a summons in response to the complaint.,01/11/2025 01:40:10 AM,09 QUEENS,4092960014,QUEENS,1028320,191897,ONLINE,Unspecified,QUEENS,,,,,,,,40.69327998343515,-73.84107959162577,"(40.69327998343515, -73.84107959162577)"
63716040,01/10/2025 11:06:16 PM,01/11/2025 12:45:57 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Crosswalk,Street/Sidewalk,11106,23 STREET,23 STREET,23 STREET,33 AVENUE,23 STREET,33 AVENUE,INTERSECTION,,,,Closed,,The Police Department issued a summons in response to the complaint.,01/11/2025 12:45:59 AM,01 QUEENS,,QUEENS,1003401,217584,ONLINE,Unspecified,QUEENS,,,,,,,,40.76387350701014,-73.93086659422276,"(40.76387350701014, -73.93086659422276)"
63711154,01/10/2025 11:04:37 PM,01/11/2025 01:03:58 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11235,2437 EAST   14 STREET,EAST   14 STREET,AVENUE X,AVENUE Y,AVENUE X,AVENUE Y,ADDRESS,BROOKLYN,EAST   14 STREET,,Closed,,The Police Department issued a summons in response to the complaint.,01/11/2025 01:04:01 AM,15 BROOKLYN,3074160065,BROOKLYN,996498,154685,PHONE,Unspecified,BROOKLYN,,,,,,,,40.59124231134374,-73.95590011532678,"(40.59124231134374, -73.95590011532678)"
63716246,01/10/2025 11:02:21 PM,01/11/2025 02:32:51 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11228,1149 71 STREET,71 STREET,11 AVENUE,12 AVENUE,11 AVENUE,12 AVENUE,ADDRESS,BROOKLYN,71 STREET,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,01/11/2025 02:32:53 AM,10 BROOKLYN,3061650057,BROOKLYN,981926,166833,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.624594240769795,-74.00837192530912,"(40.624594240769795, -74.00837192530912)"
63707052,01/10/2025 11:02:05 PM,01/10/2025 11:08:10 PM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,11224,3751 LYME AVENUE,LYME AVENUE,DEAD END,SEA GATE AVENUE,DEAD END,SEA GATE AVENUE,ADDRESS,BROOKLYN,LYME AVENUE,,Closed,,This complaint does not fall under the Police Department's jurisdiction.,01/10/2025 11:08:12 PM,13 BROOKLYN,3069770064,BROOKLYN,982974,149658,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.57745256489245,-74.00459338934068,"(40.57745256489245, -74.00459338934068)"
